,Link,Title,Discription,Colors_available,Current_Price,MRP,Percentage_discount
36,https://www.nike.com/in/t/air-max-90-se-shoes-3wp3v6/DX3276-133,Nike Air Max 90 SE,Men's Shoes,1 Colour,11297,11895,5.293440736
37,https://www.nike.com/in/t/air-jordan-1-mid-shoes-86f1ZW/BQ6472-117,Air Jordan 1 Mid,Women's Shoes,2 Colours,9777,10295,5.298148716
38,https://www.nike.com/in/t/air-force-1-07-shoes-Bzrdk4/DJ9942-600,Nike Air Force 1 '07,Women's Shoes,2 Colours,8257,8695,5.304590045
39,https://www.nike.com/in/t/pegasus-39-air-hola-lou-road-running-shoes-HzV9f8/DO9500-300,Nike Pegasus 39 A.I.R. Hola Lou,Men's Road Running Shoes,1 Colour,11297,11895,5.293440736
40,https://www.nike.com/in/t/air-jordan-1-elevate-low-shoes-XlkVrM/DH7004-141,Air Jordan 1 Elevate Low,Women's Shoes,1 Colour,11297,11895,5.293440736
41,https://www.nike.com/in/t/air-jordan-1-mid-se-shoes-CVQmnL/DM3381-600,Air Jordan 1 Mid SE,Women's Shoes,1 Colour,11297,11895,5.293440736
42,https://www.nike.com/in/t/dunk-low-se-shoes-nVLS2h/DQ5015-063,Nike Dunk Low SE,Men's Shoes,1 Colour,9207,9695,5.300314978
43,https://www.nike.com/in/t/waffle-one-se-shoes-wtgBSd/DX3282-133,Nike Waffle One SE,Men's Shoes,1 Colour,9207,9695,5.300314978
44,https://www.nike.com/in/t/air-jordan-1-low-shoe-459b4T/DC0774-006,Air Jordan 1 Low,Women's Shoe,1 Colour,7877,8295,5.306588803
45,https://www.nike.com/in/t/revolution-6-next-nature-road-running-shoes-NC0P7k/DC3728-300,Nike Revolution 6 Next Nature,Men's Road Running Shoes,1 Colour,3507,3695,5.360707157
46,https://www.nike.com/in/t/air-jordan-6-retro-older-shoes-x3z2WR/384665-141,Air Jordan 6 Retro,Older Kids' Shoes,1 Colour,11397,11995,5.246994823
47,https://www.nike.com/in/t/air-force-1-pltaform-lv8-shoes-nghH66/DX3209-133,Nike Air Force 1 PLT.AF.ORM LV8,Women's Shoes,1 Colour,10257,10795,5.245198401
48,https://www.nike.com/in/t/offline-pack-mules-TnV5rf/DQ5002-001,Nike Offline Pack,Men's Mules,1 Colour,10107,11895,17.69070941
49,https://www.nike.com/in/t/air-jordan-13-retro-shoe-pvTjVke9/414571-164,Air Jordan 13 Retro,Shoe,1 Colour,17477,18395,5.252617726
50,https://www.nike.com/in/t/dunk-high-retro-se-shoes-0sq8XC/DO9775-200,Nike Dunk High Retro SE,Men's Shoes,1 Colour,10727,11295,5.295049874
51,https://www.nike.com/in/t/blazer-mid-pro-club-shoes-xCk8SQ/DQ7673-001,Nike Blazer Mid Pro Club,Men's Shoes,1 Colour,8237,9695,17.70061916
52,https://www.nike.com/in/t/dunk-low-retro-shoes-9L8Z5s/DQ8801-800,Nike Dunk Low Retro Premium,Men's Shoes,1 Colour,9207,9695,5.300314978
53,https://www.nike.com/in/t/jordan-adg-4-golf-shoes-VrRj2T/DM0103-015,Jordan ADG 4,Men's Golf Shoes,1 Colour,14697,17295,17.67707695
54,https://www.nike.com/in/t/air-huarache-se-shoes-1JLhLB/DX3264-902,Nike Air Huarache SE,Women's Shoes,1 Colour,12157,12795,5.248005264
55,https://www.nike.com/in/t/air-more-uptempo-96-shoes-Tb6ZJ1/DV1879-001,Nike Air More Uptempo '96,Men's Shoes,1 Colour,15197,15995,5.251036389
56,https://www.nike.com/in/t/sb-zoom-blazer-mid-prm-skate-shoes-LJH748/DR9087-700,Nike SB Zoom Blazer Mid PRM,Skate Shoes,1 Colour,8257,8695,5.304590045
57,https://www.nike.com/in/t/asuna-2-slides-k0pWzp/DX2942-100,Nike Asuna 2,Men's Slides,1 Colour,3507,3695,5.360707157
58,https://www.nike.com/in/t/air-max-dawn-shoe-VbDN84/DM0013-400,Nike Air Max Dawn,Men's Shoes,1 Colour,10257,10795,5.245198401
59,https://www.nike.com/in/t/pegasus-turbo-next-nature-road-running-shoes-wq9drv/DM3414-002,Nike Pegasus Turbo Next Nature,Women's Road Running Shoes,1 Colour,13297,13995,5.249304354
60,https://www.nike.com/in/t/zoom-superfly-elite-2-athletics-sprinting-spikes-McZGFX/DR9923-700,Nike Zoom Superfly Elite 2,Athletics Sprinting Spikes,1 Colour,11897,13995,17.63469782
61,https://www.nike.com/in/t/air-kukini-shoes-nT8GrX/DV0659-200,Nike Air Kukini,Men's Shoes,2 Colours,11297,11895,5.293440736
62,https://www.nike.com/in/t/jordan-system23-shoes-f2trlS/DN4890-600,Jordan System.23,Men's Shoes,1 Colour,9207,9695,5.300314978
63,https://www.nike.com/in/t/asuna-2-next-nature-slides-PnRHDQ/FB3027-200,Nike Asuna 2 Next Nature,Men's Slides,1 Colour,3987,4195,5.216955104
64,https://www.nike.com/in/t/nikecourt-air-zoom-vapor-pro-hard-court-tennis-shoe-lDZs2D/CZ0222-400,NikeCourt Air Zoom Vapor Pro,Women's Hard Court Tennis Shoe,1 Colour,9777,10295,5.298148716
65,https://www.nike.com/in/t/superrep-cycle-2-next-nature-indoor-cycling-shoes-ZhSL67/DH3396-400,Nike SuperRep Cycle 2 Next Nature,Indoor Cycling Shoes,1 Colour,8747,10295,17.69749628
66,https://www.nike.com/in/t/air-force-1-07-vintage-shoes-KqLR70/DO9785-100,Nike Air Force 1 '07 Premium Vintage,Men's Shoes,1 Colour,12157,12795,5.248005264
67,https://www.nike.com/in/t/alphafly-2-road-racing-shoes-MRSlSl/DV9422-300,Nike Alphafly 2,Men's Road Racing Shoes,1 Colour,21657,22795,5.254652076
68,https://www.nike.com/in/t/wio-9-road-running-shoes-185Kr9/DD6203-006,Nike Winflo 9,Men's Road Running Shoes,2 Colours,8067,8495,5.305565886
69,https://www.nike.com/in/t/air-huarache-shoes-fg69qQ/DD1068-108,Nike Air Huarache,Men's Shoes,2 Colours,9777,10295,5.298148716
70,https://www.nike.com/in/t/sb-bruin-high-skate-shoes-GHdhLJ/DR0126-001,Nike SB Bruin High,Skate Shoes,2 Colours,7117,7495,5.31122664
71,https://www.nike.com/in/t/air-jordan-xxxvi-low-pf-basketball-shoes-WWGCpF/DH0832-071,Air Jordan XXXVI Low PF,Men's Basketball Shoes,1 Colour,15477,16295,5.285262002
72,https://www.nike.com/in/t/rival-fly-3-road-racing-shoes-XbhTCL/CT2405-402,Nike Rival Fly 3,Men's Road Racing Shoes,1 Colour,7787,8195,5.239501734
